timestamp,pair,timeframe,atr14,structure,rsi14,macd_line,macd_signal,macd_hist,stoch_k,stoch_d
2026.08.12 19:05,EURUSD,4H,0.00126,range_upper_half,60.56,0.00038,0.00046,-0.00009,56.14,43.44
2026.08.12 19:05,EURUSD,15M,0.00087,range_lower_half,44.78,-0.00000,0.00022,-0.00023,15.10,16.29
2026.08.12 19:05,USDJPY,4H,0.30207,range_upper_half,49.36,0.22937,0.24016,-0.01079,46.53,66.13
2026.08.12 19:05,USDJPY,15M,0.15121,range_upper_half,57.44,0.01426,-0.03639,0.05065,86.47,87.74
2026.08.12 19:05,USDCAD,4H,0.00158,range_lower_half,32.13,-0.00228,-0.00253,0.00025,41.01,40.43
2026.08.12 19:05,USDCAD,15M,0.00077,range_lower_half,47.67,-0.00021,-0.00035,0.00014,68.01,71.41
2026.08.12 19:05,CADCHF,4H,0.00124,range_upper_half,59.83,0.00128,0.00125,0.00003,73.09,76.05
2026.08.12 19:05,CADCHF,15M,0.00053,range_upper_half,55.62,0.00006,-0.00002,0.00008,85.43,81.83
2026.08.12 19:05,EURAUD,4H,0.00262,range_lower_half,32.84,-0.00127,-0.00093,-0.00034,42.23,40.63
2026.08.12 19:05,EURAUD,15M,0.00104,range_upper_half,52.81,-0.00034,-0.00066,0.00033,72.19,67.27
2026.08.12 19:05,EURCAD,4H,0.00184,range_lower_half,39.34,-0.00214,-0.00228,0.00014,48.13,38.47
2026.08.12 19:05,EURCAD,15M,0.00083,range_lower_half,40.47,-0.00024,-0.00009,-0.00015,12.63,17.05
2026.08.12 19:05,AUDUSD,4H,0.00146,range_upper_half,66.83,0.00078,0.00068,0.00010,66.85,62.21
2026.08.12 19:05,AUDUSD,15M,0.00081,range_lower_half,44.78,0.00015,0.00043,-0.00028,17.08,21.59
2026.08.12 19:05,NZDUSD,4H,0.00150,range_upper_half,52.52,-0.00000,0.00025,-0.00026,38.08,27.04
2026.08.12 19:05,NZDUSD,15M,0.00073,range_lower_half,43.65,-0.00001,0.00020,-0.00020,19.35,22.10
2026.08.12 19:05,US100,4H,133.18857,range_upper_half,61.41,92.67835,115.91677,-23.23842,70.40,46.28
2026.08.12 19:05,US100,15M,79.27643,range_lower_half,45.60,14.76667,33.10439,-18.33772,19.97,29.06
